# x_m,y_m,w_tr_right_m,w_tr_left_m,v,theta
-12.210830036280283,4.284395391309701,1.5,1.5,2,0
-12.16721523147416,4.102757967250046,1.5,1.5,2,0
-12.123600426668036,3.921120543190391,1.5,1.5,2,0
-12.067420689074549,3.7429687044587503,1.5,1.5,2,0
-12.011240951481064,3.564816865727111,1.5,1.5,2,0
-11.942767887402947,3.391018890416947,1.5,1.5,2,0
-11.874294823324831,3.2172209151067834,1.5,1.5,2,0
-11.793862758372288,3.048623876632126,1.5,1.5,2,0
-11.713430693419744,2.8800268381574696,1.5,1.5,2,0
-11.621431482573318,2.7174524570085907,1.5,1.5,2,0
-11.529432271726884,2.554878075859712,1.5,1.5,2,0
-11.426314351423866,2.399118719961649,1.5,1.5,2,0
-11.323196431120843,2.243359364063586,1.5,1.5,2,0
-11.209462373761273,2.095174185439792,1.5,1.5,2,0
-11.0957283164017,1.9469890068159967,1.5,1.5,2,0
-10.971932451070124,1.8071002419366475,1.5,1.5,2,0
-10.848136585738548,1.6672114770572968,1.5,1.5,2,0
-10.714882277513489,1.536300926740083,1.5,1.5,2,0
-10.581627969288425,1.4053903764228683,1.5,1.5,2,0
-10.4395646836231,1.2840960824779233,1.5,1.5,2,0
-10.297501397957776,1.162801788532977,1.5,1.5,2,0
-10.147321533930416,1.0517149254079303,1.5,1.5,2,0
-9.997141669903057,0.9406280622828832,1.5,1.5,2,0
-9.839577185738264,0.8402900505197284,1.5,1.5,2,0
-9.682012701573472,0.7399520387565737,1.5,1.5,2,0
-9.517831547757057,0.6508519258655385,1.5,1.5,2,0
-9.353650393940638,0.5617518129745029,1.5,1.5,2,0
-9.183652767751097,0.4843238157802751,1.5,1.5,2,0
-9.01365514156155,0.4068958185860473,1.5,1.5,2,0
-8.838669596776867,0.3415174856951122,1.5,1.5,2,0
-8.663684051992185,0.276139152804177,1.5,1.5,2,0
-8.484563423834384,0.223128475603607,1.5,1.5,2,0
-8.305442795676587,0.1701177984030373,1.5,1.5,2,0
-8.123060182593001,0.1297356071354317,1.5,1.5,2,0
-7.940677569509411,0.0893534158678263,1.5,1.5,2,0
-7.755921557172836,0.0617872644660176,1.5,1.5,2,0
-7.571165544836262,0.034221113064209,1.5,1.5,2,0
-7.384937833876836,0.0196401859808686,1.5,1.5,2,0
-7.198710122917412,0.0050592588975283,1.5,1.5,2,0
-7.011924706233318,0.0025270579311039,1.5,1.5,2,0
-6.825139289549225,-5.143035320287482e-06,1.5,1.5,2,0
-6.638340167084112,-1.882481578618922e-06,1.5,1.5,2,0
-6.4515410446190025,1.378072163049637e-06,1.5,1.5,2,0
-6.264740644386688,5.044094208983552e-07,1.5,1.5,2,0
-6.077940244154373,-3.6925332125292693e-07,1.5,1.5,2,0
-5.89114018629875,-1.351560943163577e-07,1.5,1.5,2,0
-5.704340128443128,9.894113262021169e-08,1.5,1.5,2,0
-5.517539978847941,3.6214967025216544e-08,1.5,1.5,2,0
-5.330739829252753,-2.651119856977857e-08,1.5,1.5,2,0
-5.143939704239108,-9.703773784508485e-09,1.5,1.5,2,0
-4.957139579225461,7.103651000761601e-09,1.5,1.5,2,0
-4.770339447625224,2.600117454676366e-09,1.5,1.5,2,0
-4.583539316024987,-1.903416091408871e-09,1.5,1.5,2,0
-4.396739186189608,-6.96696034196975e-10,1.5,1.5,2,0
-4.209939056354231,5.10024023014921e-10,1.5,1.5,2,0
-4.023138926045967,1.8668266932309047e-10,1.5,1.5,2,0
-3.8363387957377033,-1.3665868436874007e-10,1.5,1.5,2,0
-3.649538665556143,-5.002398495435044e-11,1.5,1.5,2,0
-3.4627385353745845,3.661071446003916e-11,1.5,1.5,2,0
-3.275938405159073,1.340261235327489e-11,1.5,1.5,2,0
-3.0891382749435614,-9.80548975348938e-12,1.5,1.5,2,0
-2.9023381447371577,-3.5971225997855068e-12,1.5,1.5,2,0
-2.715538014530754,2.611244553918368e-12,1.5,1.5,2,0
-2.528737884321899,9.9120711638534e-13,1.5,1.5,2,0
-2.341937754113044,-6.288303211476889e-13,1.5,1.5,2,0
-2.155137623904855,-3.570477247194503e-13,1.5,1.5,2,0
-1.968337493696665,-8.526512829121207e-14,1.5,1.5,2,0
-1.7815373634882905,4.529709940470639e-13,1.5,1.5,2,0
-1.5947372332799148,9.9120711638534e-13,1.5,1.5,2,0
-1.4079371030716086,-1.4335199693960025e-12,1.5,1.5,2,0
-1.2211369728633024,-3.858247055177343e-12,1.5,1.5,2,0
-1.034336842654879,5.291767024573348e-12,1.5,1.5,2,0
-0.8475367124464555,1.4441781104324036e-11,1.5,1.5,2,0
-0.6607365822384635,-1.9760193481488383e-11,1.5,1.5,2,0
-0.4739364520304718,-5.39621680673008e-11,1.5,1.5,2,0
-0.2871363218291199,-7.479403762999936e-10,1.5,1.5,2,0
-0.1003361916277681,-1.4419185845326863e-09,1.5,1.5,2,0
-0.0752521437208261,-1.0814389383995147e-09,1.5,1.5,2,0
-0.050168095813884,-7.209592922663433e-10,1.5,1.5,2,0
